platform,kind,sentiment,text
weibo,contents,1.0,记梦 梦到工作但这会忘了具体内容。只记得梦到美仪姐带我和田老师一大早去龙泉山爬山。先是骑马走，在朦胧的晨雾中，马小跑在山间小路上，有点紧张，因为我不会骑马，一路念着佛号（想起18年和朋友们回新疆玩，有过从山上骑马下来的经历）。哈气把眼镜弄花了，我看不清前面的路，只能在雾和眼镜的双重朦胧下由马带着走。走着走着就看到太阳要
zhihu,contents,1.0,“光子号”——光谷空轨。你见过悬挂的列车吗？你感受过汽车和行人在脚下飞速移动吗？那就来乘坐光谷空轨吧。车厢正中间有一块透明玻璃。如果你胆子够大，就站在玻璃上俯视下方的车水马龙吧。作为中国首条实现商业运营的悬挂式单轨，填补了我国悬挂式空轨商用领域的空白，这是中国轨道交通科技自立自强的标志性成果。光谷空轨一期为光谷生态大走
bili,comments,1.0,我想我发现了一个世界上最了不起的秘密，连你都很难分享，就是一颗灵魂可以多么美好，一个人类可以多么深情有趣温柔体恤包容勇敢和深邃，在探索这个秘密的每一天，我为这个无法与人共享的伟大发现感到无比幸运和骄傲，我在你无尽的爱里被滋养，你爱我胜过我自己，有若干次黑夜里我向你倾诉，伸手摸到你脸上滑轮下来的泪水，锴，你是我无话不谈的
tieba,comments,1.0,最近刷到某知名大V发视频讨论“中国自行车运动为什么不行”，感觉像吃了苍蝇一样难受，实在忍不住想要说几句。在大家的普遍认知中，中国的自行车运动和欧美的一些自行车强国比确实有差距，而且还不小，而这个现实情况也成了“中国自行车运动不行”的依据。而我就想来反驳一下，以下就是我都碎碎念：1.中国自行车运动是不行，那么外国哪个国家
xhs,contents,1.0,1.6w+丽江私奔式目的地婚礼，如何避坑❓ [彩虹R]都说丽江是梦想中的婚礼圣地，比较成熟，刚在丽江办完一场小而美的目的地婚礼，3天2晚，没有传统婚礼的的束缚，没有团队的大翻车，一切都刚刚好~[大笑R] [一R]场地选择：别只看宣传图！ [蓝色心形R]一定要视频看实景，确定不同天气下的展现 [蓝色心形R]提前了解场地是
zhihu,comments,1.0,四川的朋友，你们有峨眉山，贡嘎山，稻城三神山等，放之国内乃至世界，都算一线的山景，可能审美标准比较高，觉得老君山风景一般，正常吧，本来这也是主观评价，不必展开讨论。但你说老君山不是道教名山，从来都不是，我谈两点看法：一，百度百科的介绍：“春秋时期，被公认为道教始祖的老子李耳到此归隐修炼，使之成为“道源”（道教起源地）和
xhs,contents,1.0,抄作业成功！2w搞定新疆目的地婚礼~ Hello宝子们，今天要和大家分享的不是家居类了，想跟大家分享一下我的生活~ 经历了三年恋爱，我们于2024.8.2在新疆恰西森林公园成为夫妻啦~ 因为不喜欢传统的婚礼模式 所以去新疆完成了一场专属于我们俩的旅行婚礼~ 其实我们一开始也是准备举行传统婚礼的 后来偶然间在网上发现了这
xhs,contents,1.0,慎重！3w带父母旅行结婚，能劝一个是一个😭 因为带父母一起旅行结婚，在新疆办一个只属于我们的目的地婚礼，父母一起见证幸福，真的太太太太好了！父母也很开心，一切都是我们自己决定的，也不干涉我们，办完还能在新疆旅游玩一玩，不要太爽！ 回答一些目的地婚礼相关的问题 ✅目的地婚礼好在哪里？ 1⃣️没有传统嫁娶的繁琐仪式 2⃣️
douyin,contents,1.0,藏在龙泉山里的秘密花园。🏕目的地：成都龙泉落日出逃企划 🚕交通：自驾导航“落日入侵企划”，地铁2号线到龙泉驿站，转乘872D/872E路到山泉派出所站，再步行或打车 🏖门票：试营业期间完全免费还没有下午茶 📸打卡攻略：建议下午穿浅色系衣服来，既能拍桃花又能等落日，木屋和鲜花布景超级浪漫，打卡机位很多，有一种童话的感觉，
xhs,contents,1.0,我的新疆目的地婚礼结束啦💒经验行程分享 谁懂啊家人们！ 我的新疆目的地婚礼就这样结束了[哭惹R] 顶着寒风在雪地里办了一场独属于我们俩的婚礼 冷到跺脚但真的美到哭[哭惹R] [一R]要看真实客片，这样才能看出拍出来的真实情况，也能更清楚摄影团队的能力或者风格是不是自己喜欢的[萌萌哒R] [二R]提前2-3天抵达当地❗️
xhs,contents,1.0,带爸妈去丽江办了目的地婚礼（含行程花费） 我跟对象一个是福建的一个是四川的两家相隔太远，工作又忙到起飞，没有精力筹备传统婚礼，而且来参加婚礼的宾客也在意你的婚礼仪式，所以就选择了对我们很重要很重要的人办一场目的地婚礼[害羞R]我们一共有20个人，策划老师都说是他们目前接待过最多的了，婚礼不仅记录两个人的甜蜜，也拍到了很
douyin,contents,1.0,成都周边自驾私藏！龙泉山日出美到窒息🌅。周末逃离城市喧嚣，去龙泉山赴一场日出之约。清晨六点出发，沿着蜿蜒山路慢慢爬升，车窗外的天色从墨蓝渐变成粉紫，像打翻的调色盘被谁悄悄揭开了一角。 到山顶时刚好赶上日出，云海在脚下翻涌，远处的城市轮廓若隐若现，阳光穿透云层洒下来的瞬间，感觉整个世界都被温柔包裹。站在观景台发了会儿呆，
xhs,contents,1.0,我只能说，逃避婚礼带来的后果很…… 后果就是，我们做这个决定真的太棒了 🤩与其听和说不如去做一次，让自己的青春不留遗憾 🥰回来两周啦，今天来给大家说说我的小众婚礼 我和先生都不太喜欢人多和热闹，虽然没有亲友的当面祝福，但我俩也有更加松弛的享受。也收到了很多来自世界各地的陌生人的祝福，总之就是很有意义，也没有面对长辈的尴
xhs,contents,1.0,一价全包‼️巴厘岛海岛婚拍13999王炸套餐 安漫怡婚旅影像王炸套餐，蜜月旅行+婚前影像1w+ 即可全包锁定，安漫怡带你玩转巴厘岛！ 原价21999，春节早鸟特惠立减3000，当日下单再减5000 无任何隐形消费，让浪漫不被预算设限！ 🔥黄金档期火热抢定中🔥 告别传统婚拍的奔波劳累，我们要的是边玩边拍！ 在巴厘岛的阳光
tieba,comments,1.0,五溪古代诗歌辑录送王昌龄之岭南孟浩然 洞庭去远近，枫叶早惊秋。 岘首羊公爱，长沙贾谊愁。 土毛无缟纻，乡味有查头。 已抱沈痼疾，更贻魑魅忧。 数年同笔砚，兹夕异衾裯。 意气今何在，相思望斗牛。望洞庭湖赠张丞相八月湖水平，涵虚混太清。气蒸云梦泽，波撼岳阳城。欲济无舟楫，端居耻圣明。坐观垂钓者，徒有羡鱼情。该首作于孟应聘入
tieba,comments,1.0,送沅江宋明府即开府璟之孙(无可)初闻从事日，鄂渚动芳菲。一遂钧衡荐，今为长吏归。人临沅水望，雁映楚山飞。唯有传声政，家风重发挥。《天仙子》年代:宋 作者: 张先持节来时初有雁。十万人家春已满。龙标名第凤池身，堂阜远。江桥晚。一见湖山看未遍。障扇欲收歌泪溅。亭下花空罗绮散。樯竿渐向望中疏，旗影转。鼙声断。惆怅不如船尾燕。
tieba,comments,1.0,秋日登辰州郡城薛 瑄雄城百尺控蛮荒﹙1﹚，山翠高低护女墙﹙2﹚。万里梯航通六诏﹙3﹚。五溪烟水下三湘。边氓已久渐华俗﹙4﹚，远客频应望帝乡﹙5﹚。地气如今同北土﹙6﹚，早秋时节雨生凉。【作者介绍】薛瑄（1392~1464），字德温，号敬轩，河津（今山西河津）人。明朝永乐年间进士，著名学者。曾经做过御史、大理寺丞、礼部右
tieba,comments,1.0,题白雾驿﹙1﹚陶 弼一曲清溪一曲山﹙2﹚，鸟飞鱼跃白云间。溪山且要行人到， 自是行人到此间﹙3﹚。【作者介绍】陶弼，字商翁，宋朝永州（今湖南零陵）人。风流倜傥，熟读兵书。庆历年间，湖南瑶民造反，朝廷派杨畋征讨，杨畋授兵权给陶弼，陶弼率军征瑶，大获全胜，以军功获阳朔主薄。后来又做过阳朔县令、邕州知府、顺州知府等官。【说 
tieba,comments,1.0,﹙17﹚这句说：一千多年过去了，司马错城还残留着这几层旧基。﹙18﹚这句说：它们使多少人凭吊伤感往事啊。经窦车骑故城﹙1﹚窦 巩荒陂古堞欲千年﹙2﹚，名振图书剑在泉﹙3﹚。今日诸孙拜坟树﹙4﹚，愧无文字续燕然﹙5﹚。【作者介绍】窦巩，字友封，金城（今江苏句容县）人。唐宪宗元和二年（807）进士。曾经做过滑州从事、侍御使
tieba,comments,1.0,辰阳即事①张谓青枫叶落正堪悲，黄菊残花欲待谁？水近偏逢寒气早，山深常见日光迟。愁中卜命看《周易》②，病里招魂读《楚词》③。自恨不如湘浦雁，春来即是北归时。[作者介绍] 张谓（？~777），字正言，河内（今河南沁阳）人。天宝进士。乾元中为尚书郎，出使夏口，与李白在江城南湖宴饮。大历时为潭州（今长沙）刺史，后官至礼部侍郎。
