platform,kind,sentiment,text
bili,comments,2.2066810601018005e-09,回复 :贼讨厌这种，我在北边二环边上，大晚上特喵的总有飙车的，大晚上飙车我不管，人少，别祸害其他车辆跟人就行，但是轰油门，故意弄很大的声音扰民，一路火花带闪电，我平时心平气和，这个时候只想诅咒他们马上出事。而且是经常性的，大晚上睡着了被吵醒，好不容睡着了又来了，很烦。（我睡眠质量还不行[捂脸]）
zhihu,contents,3.486114286133102e-09,本人现居敦煌，男朋友的姐姐（下面称为大姐）在月牙泉景区中门附近开了个旅拍店，对，就是那个月牙泉景区里面到处都是飞天和西域公主的旅拍店。2023年这位大姐入行，那时候正值口罩结束爆发式旅游时期，她只是化妆师，从早上五六点就开始接单化妆，一直忙到晚上12点才能回家，旺季期间每天纯化妆收入上千块，大姐干了一年，觉得可以自己当
xhs,contents,5.673375991221974e-09,98年小夫妻两人目的地婚礼➕旅行要花多少钱 我们是年初办的目的地婚礼 💐沈阳✈️昆明🚄大理 办了一场属于我们的目的地婚礼然后又🚄重庆🚄成都✈️沈阳 又在周边玩了4天左右 总共半个多月的时间 不仅办了婚礼而且玩的非常开心🥳 [打卡R]在昆明短暂游玩了一天左右之后 我们就坐高铁抵达大理啦 在婚礼之前我们去了大理古城 洱海边
weibo,contents,9.862486494149891e-09,春游桐庐马上迎春启新年 富春江畔年味浓，桐庐新春惊喜到！“春游桐庐・马上有喜”杭州西部消费中心新春消费嘉年华已于2月2日火热启幕。多重美好齐聚，承包本地市民的新春欢乐。更邀八方游客奔赴富春山水的年味之约～“马上有喜”系列活动重磅登场。
douyin,comments,2.3715596486617585e-08,哈哈哈哈[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
bili,comments,2.4271217147209256e-08,我也是龙泉的，骑车的，骑很多年了，晚上几乎不骑，就算有事晚上骑也不会吵到别人，最重要的一点，不改排气，大多数车只要不改排气声音都不大，听着都不吵人，少数国产和欧系原装声音偏大。大家极度讨厌的95%都是改了排气的和原装排气把里面掏空的。其实还有一部分是汽车改排气炸街的。
zhihu,comments,5.673762071278787e-08,江西的气候太恶劣了[尴尬]冬天虽然最冷也是0度左右，但是特别潮湿，经常下着小雨还有风，体感超级冷🥶夏天37、38甚至40度，暴晒，太可怕了[大哭]
douyin,comments,5.692871563045543e-08,武汉没去过，江西体验过一次，8月份去的。呆了五天，就吃了三顿饭，室内闷热，室外暴晒，晚上不盖被子热的睡不着[捂脸] 很佩服你们平原地区夏天都怎么度过夏天的，云南人表示太热了，跟进密闭的火炉房一样，受不了一点[捂脸]
bili,comments,6.469753266458156e-08,要想嗨请下赛道，没钱嗨麻烦去玩游戏。不要自己死还害老子们。这句话送给平常马路飙车和打算去马路飙车的人。不服来对喷，哦对了，别喷不过就拉黑哦[嗑瓜子]
xhs,contents,7.943959501321984e-08,分享我7k💰丽江婚纱照【日照金山】，没白来😭 我的丽江婚纱照美美下车啦 丽江这趟没白来，收获颇丰！还拍到了心心念念的日照金山！我们拍的7520的，60张精修，260张底片，每个人有5套衣服，全场任选，还挺有质感的，包含3天2晚住宿和景区门票！ 拍照还挺冷的，有想去的姐妹千万穿厚点，不过看到成片这么好看也值了！没白挨冻[
xhs,comments,9.900944508700604e-08,请问 2点从西边出发 ，从西门进。时间来的及不。会不会下来天黑了[捂脸R][捂脸R][捂脸R][捂脸R]
